,Name,Description,
x,L1,"I can evaluate a limit graphically or numerically including one-sided and infinite limits. (Section 2.2, 4.6)",
x,L2,"I can evaluate a limit analytically (using algebra), including one-sided and infinite limits. (Section 2.3, 4.6)",
x,L3,I can recognize points at which a function is (and is not) continuous and can use continuity to evaluate limits. (Section 2.4),
,L5,I can identify limits in indeterminate form and can apply L'Hopital's rule correctly. (Section 4.8),
x,DM1,I can understand the limit definition of the derivative and calculate the derivative at a point. (Section 3.1),
x,DM2,"I can calculate and interpret instantaneous rates of change at a point using graphs and tables, and I can understand the difference between the instantaneous rate of change and the average rate of change. (Section 3.1, 3.2) ",see new file DM3-CV Done
x,DM4,I can sketch the derivative function from the graph of a given function (specifically f' from f).  (Section 3.2),
x,DM5,I can find the tangent line to a function at a given point. (Section 3.1),
x,DS2,"I can use the Product and Quotient Rules to compute derivatives of simple algebraic, trigonometric, exponential, and logarithmic functions in combination. (Section 3.3,3.5,3.9)",
x,DS3,"I can use the Chain Rule to compute derivatives of simple algebraic, trigonometric,exponential, and logarithmic functions in combination. (Section 3.6)",
x,DS4,"I can use a combination of the Product, Quotient, and Chain Rules to compute derivatives of simple algebraic, trigonometric, exponential, and logarithmic functions in combination. (Sections 3.5, 3.6, 3.9)",
a,DS5,I can compute derivatives correctly using implicit differentiation. (Section 3.8),
x,DA1,"I can correctly interpret the meaning of a derivative in context (e.g. velocity, acceleration). (Section 3.4)",
,DA2,I can use calculus to find local and absolute extrema of functions. (Section 4.3 & Section 4.5 ),
,DA4a,"I can explain the relationship between a function and its first and second derivatives (concavity, increasing/decreasing, points of inflection). (Section 4.5)",
,DA4b,I can apply the First Derivative Test and Second Derivative Test to locate local extrema.  (Section 4.5),
a,DA5,I can solve related rates problems.  (Section 4.1),
,FTC2,I can use anti-differentiation to solve initial-value problems. (Section 4.10),
,FTC3,"I can evaluate definite integrals exactly by using the properties of definite integrals, graphs and geometry. (Section 5.2)",
,FTC4,I can estimate the values of definite integrals numerically using the left-hand sum or the right-hand sum. (Section 5.1),
,FTC5,I can evaluate definite integrals exactly by using the Fundamental Theorem of Calculus (FTC) part 2 with an antiderivative.  (Section 5.3),
,FTC6,"I can interpret the physical meaning of a definite integral in terms of net area, net change, displacement, or distance, and state its units.  (Section 5.4)",
,FTC8,I can evaluate integrals using the Substitution Rule using definite and indefinite integrals.  (Section 5.5 and 5.6),
